word	reading
	S
ء	ʼ
آ	ʾalif maddah
آب	ʼāb
آباء	ʼābāʼ
آباد	ʼābād
آت	ʼātin
آتون	ʼātūn
آتى	ʼātā
آتي	ʼātī
آتية	ʼātiya
آثار	ʼāṯār
آثر	ʼāṯara
آخذ	ʼāḵaḏa
آخر	ʼāḵir
آخرة	ʼāḵira
آخرون	ʼāḵirūn
آداب	ʼādāb
آدم	ʼādam
آذار	ʼāḏār
آذان	ʼāḏān
آذى	ʼāḏā
آر	ʼāra
آراء	ʼārāʼ
آرام	ʼārām
آزر	ʼāzara
آس	ʼās
آسف	ʼāsif
آسيا	ʼāsiyā
آسيوي	ʼāsiyawiyy
آش	ʼāš
آفاق	ʼāfāq
آفة	ʼāfa
آكل	ʼākala
آل	ʼāl
آلات	ʼālāt
آلاف	ʼālāf
آلام	ʼālām
آلة	ʼāla
آلف	ʼālf
آلم	ʼālama
آلهة	ʼāliha
آلو	ʼālo
آلى	ʼālā
آلي	ʼāliyy
آلية	ʼāliyya
آم	ʼāma
آمال	ʼāmāl
آمر	ʼāmara
آمل	ʼāmulu
آمن	ʼāmana
آمنة	ʼāmina
آمون	ʼāmūn
آمين	ʼāmīna
آن	ʼān
آنذاك	ʼānaḏāka
آنسات	ʼānisāt
آنسة	ʼānisa
آنك	ʼānuk
آنى	ʼānā
آني	ʼāniyy
آه	ʼāhi
آهات	ʼāhāt
آهة	ʼāha
آوى	ʼāwā
آوي	ʼāwī
آيات	ʼāyāt
آية	ʼāya
آيس	ʼāyasa
آيوا	ʼāyuwā
أ	ʼa-
أؤجر	ʼuʼajjiru
أؤكد	ʼuʼakkidu
أؤلف	ʼuʼallifu
أؤمن	ʼuʼamminu
أب	ʼab
أبا	ʼabā
أبت	ʼabati
أبجدية	ʼabjadiyya
أبحاث	ʼabḥāṯ
أبحث	ʼabḥaṯu
أبحر	ʼabḥara
أبد	ʼabada
أبدأ	ʼabdaʼu
أبدا	ʼabadan
أبدل	ʼabdala
أبدو	ʼabdū
أبدوا	ʼabadū
أبدى	ʼabdā
أبدي	ʼabadiyy
أبدية	ʼabadiyya
أبراج	ʼabrāj
أبرد	ʼabrad
أبرز	ʼabraz
أبريل	ʼabrīl
أبسط	ʼabsaṭ
أبشع	ʼabšaʻ
أبطأ	ʼabṭaʼa
أبطال	ʼabṭāl
أبعاد	ʼabʻād
أبعد	ʼabʻad
أبق	ʼabaqa
أبقى	ʼabqā
أبكر	ʼabkuru
أبكم	ʼabkam
أبكى	ʼabkā
أبلغ	ʼablaḡa
أبلغت	ʼablaḡtu
أبلل	ʼablul
أبله	ʼablah
أبن	ʼabbana
أبناء	ʼabnāʼ
أبو	ʼabū
أبواب	ʼabwāb
أبوان	ʼabawān
أبوة	ʼubuwwa
