word	pos	locale	translation
a	adv	de	W
a	adv	es	H
a	adv	fr	h
a	adv	ru	г
a	intj	de	äh
a	intj	es	eh
a	intj	fr	euh
a	intj	ru	э-э
a	noun	ar	إِي
a	noun	el	έι
a	noun	hi	ए
a	noun	ro	â
a	noun	ru	а
a	num	ar	ا
a	num	ru	а
a	prep	ar	فِي
a	prep	de	pro
a	prep	es	por
a	prep	fr	par
a	prep	ru	в
aa	noun	de	Aa-Lava
aa	noun	it	àa
aah	intj	es	¡ay!
aah	intj	pt	nossa
aah	intj	ru	ах
ab	noun	de	Bauchmuskeln
ab	noun	fr	abdo
ab	noun	ru	пресс
abandon	noun	de	Hingabe
abandon	noun	el	εγκατάλειψη
abandon	noun	es	desenfreno
abandon	noun	it	abbandono
abandon	noun	pt	abandono
abandon	noun	ru	несде́ржанность
abandon	verb	ar	تَرَكَ
abandon	verb	ca	abandonar
abandon	verb	de	aufgeben
abandon	verb	el	εγκαταλείπω
abandon	verb	es	abandonar
abandon	verb	fr	abandonner
abandon	verb	hi	छोड़ देना
abandon	verb	it	abbandonare
abandon	verb	pt	abandonar
abandon	verb	ro	părăsi
abandon	verb	ru	оставля́ть
abandon	verb	tr	terk etmek
abbey	noun	ar	دَيْر
abbey	noun	ca	abadia
abbey	noun	de	Abtei
abbey	noun	el	αβαείο
abbey	noun	es	abadía
abbey	noun	fr	abbaye
abbey	noun	it	abbazia
abbey	noun	pt	abadia
abbey	noun	ro	abație
abbey	noun	ru	абба́тство
abbey	noun	tr	dergâh
abbot	noun	ar	رَئِيس الدَّيْر
abbot	noun	ca	abat
abbot	noun	de	Abt
abbot	noun	el	ηγούμενος
abbot	noun	es	abad
abbot	noun	fr	abbé
abbot	noun	it	abate
abbot	noun	pt	abade
abbot	noun	ro	egumen
abbot	noun	ru	абба́т
abbot	noun	tr	başrahip
abdomen	noun	ar	بَطْن
abdomen	noun	de	Bauch
abdomen	noun	el	κοιλία
abdomen	noun	hi	उदर
abdomen	noun	it	addome
abdomen	noun	pt	abdômen
abdomen	noun	ru	живо́т
abdomen	noun	tr	karın
abduct	verb	ar	يَخْطِفّ
abduct	verb	ca	raptar
abduct	verb	de	entführen
abduct	verb	el	απάγω
abduct	verb	es	raptar
abduct	verb	fr	enlever
abduct	verb	it	sottrarre
abduct	verb	pt	raptar
abduct	verb	ro	răpi
abduct	verb	ru	похища́ть
abduction	noun	ar	اِخْتِطَاف
abduction	noun	de	Entführung
abduction	noun	el	απαγωγή
abduction	noun	es	rapto
abduction	noun	fr	enlèvement
abduction	noun	hi	अपहरण
abduction	noun	it	rapimento
abduction	noun	ro	răpire
abduction	noun	ru	похище́ние
abide	verb	ar	يَبْقَى
abide	verb	ca	viure
abide	verb	de	weilen
abide	verb	es	habitar
abide	verb	fr	demeurer
abide	verb	it	vivere
abide	verb	pt	viver
abide	verb	ru	жить
abide	verb	tr	ikamet etmek
abigail	noun	de	Zofe
abigail	noun	es	doncella
abigail	noun	ru	го́рничная
ability	noun	ar	قُدْرَة
ability	noun	ca	habilitat
ability	noun	de	Fähigkeit
ability	noun	el	ικανότητα
ability	noun	es	habilidad
ability	noun	fr	capacité
ability	noun	hi	योग्यता
ability	noun	it	abilità
ability	noun	pt	habilidade
ability	noun	ro	putință
ability	noun	ru	возмо́жность
ability	noun	sw	uwezo
able	adj	ar	قَادِر
able	adj	ca	capaç
able	adj	de	fähig
able	adj	el	ικανός
able	adj	es	diestro
able	adj	fr	capable
able	adj	hi	समर्थ
able	adj	it	abile
able	adj	pt	capaz
able	adj	ro	abil
able	adj	ru	спосо́бный
abnormal	adj	ar	غَيْر طَبِيعِيّ
abnormal	adj	ca	anormal
abnormal	adj	de	unnormal
abnormal	adj	es	anormal
abnormal	adj	fr	inhabituel
abnormal	adj	it	anormale
abnormal	adj	pt	anormal
abnormal	adj	ro	anormal
abnormal	adj	ru	ненорма́льный
aboard	adv	ar	عَلَى ظَهْر
aboard	adv	ca	a bord
aboard	adv	de	an Bord
aboard	adv	el	στο πλοίο
aboard	adv	es	a bordo
aboard	adv	fr	à bord
aboard	adv	hi	अबौड
aboard	adv	it	a bordo
aboard	adv	pt	a bordo
aboard	adv	ru	на борту́
aboard	prep	de	an Bord
aboard	prep	el	εν πλω
aboard	prep	es	a bordo de
aboard	prep	fr	à bord de
aboard	prep	it	a bordo di
aboard	prep	pt	a bordo de
aboard	prep	ru	на борту́
abort	noun	ca	avortament
abort	noun	es	aborto
abort	noun	fr	fausse couche
abort	noun	pt	aborto
abort	noun	ro	avort
abort	noun	ru	або́рт
abort	verb	ar	يُجْهِض
abort	verb	ca	avortar
abort	verb	es	abortar
abort	verb	fr	faire une fausse couche
abort	verb	it	abortire
abort	verb	pt	abortar
abort	verb	sw	-avya mimba
abortion	noun	ar	إِجْهَاض
abortion	noun	ca	avortament induït
abortion	noun	de	Abtreibung
abortion	noun	el	έκτρωση
abortion	noun	es	aborto
abortion	noun	fr	avortement
abortion	noun	hi	गर्भपात
abortion	noun	it	aborto
abortion	noun	pt	aborto
abortion	noun	ro	avort
abortion	noun	ru	або́рт
abortion	noun	tr	kürtaj
about	adv	ar	حَوَالِي
about	adv	de	etwa
about	adv	el	σχεδόν
about	adv	es	alrededor de
about	adv	fr	environ
about	adv	pt	aproximadamente
about	adv	ro	cam
about	adv	ru	приме́рно
about	adv	sw	kadiri ya
about	adv	tr	yaklaşık
about	prep	ar	عَن
about	prep	ca	sobre
about	prep	de	über
about	prep	el	για
about	prep	es	sobre
about	prep	fr	de
about	prep	hi	के बारे
about	prep	it	riguardo
about	prep	pt	sobre
about	prep	ro	despre
about	prep	ru	о
about	prep	sw	kuhusu
above	adj	fr	ci-dessus
above	adv	ca	dalt
above	adv	de	höher
above	adv	el	πάνω
above	adv	es	arriba
above	adv	fr	au-dessus
above	adv	hi	ऊपर
above	adv	pt	acima
above	adv	ro	deasupra
above	adv	ru	наверху́
above	noun	ru	вышеупомя́нутый
above	prep	ar	فَوقَ
above	prep	ca	damunt
above	prep	de	über
above	prep	el	πάνω
above	prep	es	arriba
above	prep	fr	au-dessus de
above	prep	hi	... के ऊपर
above	prep	it	sopra
above	prep	pt	acima de
above	prep	ro	deasupra
above	prep	ru	над
above	prep	tr	yukarıya
abroad	adv	ar	فِي الْخَارِج
abroad	adv	ca	a l'estranger
abroad	adv	de	im Ausland
abroad	adv	el	στο εξωτερικό
abroad	adv	es	en el extranjero
abroad	adv	fr	à l'étranger
abroad	adv	hi	विदेश में
abroad	adv	it	all'estero
abroad	adv	pt	no exterior
abroad	adv	ru	за грани́цей
abroad	adv	tr	dışarı
abroad	noun	ca	estranger
abroad	noun	de	Ausland
