word	sentence	translation	difficulty_rank
vous	Et vous ?	How about you?	13
et	Et vous ?	How about you?	13
et	Et ?	So what?	13
vous	Est-ce à vous ?	Is it yours?	25
ce	Est-ce à vous ?	Is it yours?	25
est	Est-ce à vous ?	Is it yours?	25
à	Est-ce à vous ?	Is it yours?	25
vous	Est-ce vous ?	Is it you?	25
ce	Est-ce vous ?	Is it you?	25
est	Est-ce vous ?	Is it you?	25
pour	Pour vous ?	For you?	27
pour	Pour !	I agree!	27
je	Je ne les ai pas.	I don't have them.	28
ne	Je ne les ai pas.	I don't have them.	28
ai	Je ne les ai pas.	I don't have them.	28
pas	Je ne les ai pas.	I don't have them.	28
les	Je ne les ai pas.	I don't have them.	28
qui	À qui est-ce ?	Whose is this?	31
ce	À qui est-ce ?	Whose is this?	31
est	À qui est-ce ?	Whose is this?	31
à	À qui est-ce ?	Whose is this?	31
qui	Qui est-ce ?	Who is he?	31
qui	Qui est-il ?	Who is he?	31
il	Qui est-il ?	Who is he?	31
à	À qui est-ce ?	Whose is it?	31
pour	Qui est pour ?	Who's in favor?	31
de	Pas de mais !	No buts!	32
mais	Pas de mais !	No buts!	32
pas	Pas de mais !	No buts!	32
nous	Est-ce pour nous ?	Is it for us?	34
nous	À nous.	To us!	34
elle	Qui est-elle ?	Who is she?	35
elle	Elle ?	Her?	35
elle	À elle.	It's her turn.	35
bien	Bien.	Good.	37
bien	Pas bien !	Bad boy!	37
pas	Pas bien !	Bad boy!	37
bien	Bien !	Well!	37
et	Et bien.	Well.	37
si	Si.	Yes!	38
on	On y est.	Here we are.	40
y	On y est.	Here we are.	40
ça	Ça y est.	This is it.	40
y	Ça y est.	This is it.	40
ça	Ça y est !	There you are!	40
y	Ça y est !	There you are!	40
ça	Ça y est !	That's it!	40
je	Qui suis-je ?	Who am I?	41
suis	Qui suis-je ?	Who am I?	41
je	Je ne suis pas.	I don't follow.	41
ne	Je ne suis pas.	I don't follow.	41
suis	Je ne suis pas.	I don't follow.	41
le	Suis-le !	Follow him.	41
suis	Suis-le !	Follow him.	41
le	Je le suis !	I am!	41
tu	Est-ce que tu suis ?	Do you follow?	41
que	Est-ce que tu suis ?	Do you follow?	41
que	Je suis ce que je suis.	I am who I am.	41
me	Ne me suis pas !	Don't follow me.	41
ne	Ne me suis pas !	Don't follow me.	41
les	Je ne les suis pas.	I don't follow them.	41
nous	Suis-nous !	Follow us.	41
me	Est-ce que tu me suis ?	Are you following me?	41
tu	Est-ce que tu me suis ?	Are you following me?	41
que	Est-ce que tu me suis ?	Are you following me?	41
tu	Tu me suis.	You follow me.	41
me	Tu me suis.	You follow me.	41
la	Suis-la.	Follow her.	41
non	Non !	No!	42
non	Non, non et non !	No, no, no!	42
non	Non.	No.	42
un	Est-ce un non ?	Is that a no?	42
mais	Non, mais !	Seriously?!	42
avec	Je suis avec vous.	I'm by your side.	44
avec	Avec qui est-elle ?	Who's she with?	44
avec	Avec qui suis-je ?	Who am I with?	44
il	Avec qui est-il ?	Who is he with?	44
il	Il est avec elle.	He is with her.	44
tout	Pas du tout !	Not at all!	45
du	Pas du tout !	Not at all!	45
tout	Pas du tout.	Not at all.	45
du	Pas du tout.	Not at all.	45
tout	Non, pas du tout !	No, not at all.	45
du	Non, pas du tout !	No, not at all.	45
un	Tout est un.	All is one.	45
plus	À plus.	See you again.	46
de	Un de plus ?	One more?	46
plus	Un de plus ?	One more?	46
un	Un de plus ?	One more?	46
plus	Y en a plus ?	Is there any left?	46
a	Y en a plus ?	Is there any left?	46
en	Y en a plus ?	Is there any left?	46
te	Je ne te suis pas.	I'm not following you.	49
au	Suis-je bien au 223-1374 ?	Is this 223-1374?	50
fait	Ce qui est fait est fait.	It's no use crying over spilt milk.	51
a	Il a bien fait.	He did right.	51
fait	Il a bien fait.	He did right.	51
fait	Que fait-elle ?	What does she do?	51
au	Au fait.	In fact.	51
le	Ça ne le fait pas.	That doesn't cut the mustard.	51
te	Ça ne te fait pas du bien.	It is no good to you.	51
de	Ça ne te fait pas de bien.	It is no good to you.	51
te	Ça ne te fait pas de bien.	It is no good to you.	51
a	Qui a fait ça ?	Who did this?	51
on	On a fait ça.	We did that.	51
si	Si fait.	If completed.	51
on	On ne me la fait pas.	I know the ropes.	51
la	On ne me la fait pas.	I know the ropes.	51
si	En fait, si.	Actually, yes.	51
en	En fait, si.	Actually, yes.	51
moi	Il a fait de moi ce que je suis.	He has made me what I am.	52
moi	Moi non plus.	Me neither.	52
moi	Suis-moi.	Follow me.	52
mais	Non, pas moi, mais vous !	No, not me, but you!	52
oui	Oui.	Yes.	54
oui	Oui !	Yes!	54
oui	Oui et non.	Yes and no.	54
en	En fait, oui.	Actually, yes.	54
au	Mais oui, au fait !	But yes, by the way!	54
va	Tout va bien.	It's all right.	55
va	Ça va ?	You all right?	55
va	Non, non, ça va.	No, no, that's okay.	55
était	Était-ce un oui ?	Was that a yes?	56
était	Était-ce un non ?	Was that a no?	56
était	Il était bien.	He was fine.	56
as	En as-tu un ?	Do you have one?	57
as	As-tu tout ?	Do you have everything?	57
as	Tu as tout.	You have everything.	57
les	Tu les as ?	Do you have them?	57
faire	Que faire ?	What to do?	58
faire	Il a à faire.	He is busy.	58
faire	Ça va pas le faire.	We're not going to make it.	58
quoi	Pour quoi faire ?	For what?	61
quoi	Quoi ?	What?	61
sur	Sur quoi ?	About what?	61
quoi	Sur quoi ?	About what?	61
se	On se fait à tout.	You get used to everything.	62
se	Ça ne se fait pas !	That is not the done thing!	62
se	Ça ne se fait pas.	People don't do that.	62
comme	Je ne suis pas comme ça.	I'm not like that.	63
comme	Je ne suis pas comme vous !	I'm not like you!	63
comme	Moi je ne suis pas comme vous !	I'm not like you!	63
sais	Je ne sais pas.	I don't know.	64
sais	Je sais quoi faire.	I know what to do.	64
sais	Je ne sais que faire.	I don't know what to do.	64
sur	Je sais tout sur elle.	I know everything about her.	64
veux	Que veux-tu ?	What do you want?	66
veux	Je te veux.	I want you.	66
veux	Que veux-tu faire ?	What do you want to do?	66
être	Que veux-tu être ?	What do you want to be?	66
être	Je veux être vous.	I want to be you.	66
être	Je veux y être, sais-tu.	I want to be there, you know.	66
une	En veux-tu une ?	Want one?	66
ici	Il est ici !	Here he is!	67
ici	Tout est ici.	It's all here.	67
ici	Il est ici pour moi.	He's here for me.	67
toi	Bien. Et toi ?	Fine. And you?	69
