word,definition,definition_ru,definition_ar,definition_es,definition_pt,reading,pos,level,level_source,frequency_rank,alternatives,root,form,gender,aspect,aspect_partner,acc,gen,prep,dat,inst
s'appeler,"to be called, to be named",,,llamarse,,sa.p(ə).le,verb,A1,,,,appel-,,,,,,,,,
habiter,"to live, to reside",,,"vivir, habitar",,a.bi.te,verb,A1,,,,habit-,,,,,,,,,
être,to be,,,"ser, estar",,ɛtʁ,verb,A1,,,,ét-/es-/somm-/s-,,,,,,,,,
hibou,owl,,,búho,,i.bu,noun,A2,,,,,,m,,,,,,,
hacher,"to chop, to mince",,,picar,,a.ʃe,verb,B1,,,,hach-,,,,,,,,,
huer,to boo,,,abuchear,,y.e,verb,B1,,,,hu-,,,,,,,,,
foule,crowd,,,multitud,,ful,noun,A2,,,,,,f,,,,,,,
professeur,teacher,,,profesor,,pʁɔ.fe.sœʁ,noun,A1,,,,,,m,,,,,,,
ingénieur,engineer,,,ingeniero,,ɛ̃.ʒe.njœʁ,noun,A1,,,,,,m,,,,,,,
fleuriste,florist,,,florista,,flœ.ʁist,noun,A2,,,,,,m/f,,,,,,,
docteur,doctor,,,doctor,,dɔk.tœʁ,noun,A1,,,,,,m,,,,,,,
mécanicien,mechanic,,,mecánico,,me.ka.ni.sjɛ̃,noun,A2,,,,,,m,,,,,,,
comptable,accountant,,,contable,,kɔ̃.tabl,noun,A2,,,,,,m/f,,,,,,,
architecte,architect,,,arquitecto,,aʁ.ʃi.tɛkt,noun,A2,,,,,,m/f,,,,,,,
à la prochaine !,"Until next time!, See you next time!",,,¡Hasta la próxima!,,a la pʁɔ.ʃɛn,interjection,A1,,,,,,,,,,,,,
bonjour,"hello, good day",,,"hola, buenos días",,bɔ̃.ʒuʁ,interjection,A1,,,,,,,,,,,,,
bien sûr,"certainly, of course",,,por supuesto,,bjɛ̃ syʁ,adv,A2,,,,,,,,,,,,,
Allemagne,Germany,,,Alemania,,al.maɲ,noun,A1,,,,,,f,,,,,,,
Angleterre,England,,,Inglaterra,,ɑ̃.ɡlə.tɛʁ,noun,A1,,,,,,f,,,,,,,
Espagne,Spain,,,España,,ɛs.paɲ,noun,A1,,,,,,f,,,,,,,
France,France,,,Francia,,fʁɑ̃s,noun,A1,,,,,,f,,,,,,,
Italie,Italy,,,Italia,,i.ta.li,noun,A1,,,,,,f,,,,,,,
les Etats-Unis,the United States,,,los Estados Unidos,,le.ze.ta.zy.ni,noun,A1,,,,,,m,,,,,,,
espagnol,Spanish,,,español,,ɛs.pa.ɲɔl,adj,A1,,,,,,,,,,,,,
américain,American,,,americano,,a.me.ʁi.kɛ̃,adj,A1,,,,,,,,,,,,,
Varsovie,Warsaw,,,Varsovia,,vaʁ.sɔ.vi,noun,A2,,,,,,f,,,,,,,
hiver,winter,,,invierno,,i.vɛʁ,noun,A1,,,,,,m,,,,,,,
Hongrie,Hungary,,,Hungría,,ɔ̃.ɡʁi,noun,A2,,,,,,f,,,,,,,
homéopathie,homeopathy,,,homeopatía,,ɔ.me.ɔ.pa.ti,noun,B2,,,,,,f,,,,,,,
honnête,honest,,,honesto,,ɔ.nɛt,adj,A2,,,,,,,,,,,,,
à,"to, in, at (used before city names)",,,"a, en",,a,preposition,A1,,,,,,,,,,,,,
en,in (used before feminine country names),,,en,,ɑ̃,preposition,A1,,,,,,,,,,,,,
aux,"in, to (before plural country names)",,,"en, a (plural)",,o,preposition,A1,,,,,,,,,,,,,
ils,"they (masculine plural, or a mixed group)",,,ellos,,il,pronoun,A1,,,,,,m,,,,,,,
elles,they (feminine plural),,,ellas,,ɛl,pronoun,A1,,,,,,f,,,,,,,
