word,definition,definition_ru,definition_ar,definition_es,definition_pt,reading,pos,level,level_source,frequency_rank,alternatives,root,form,gender,aspect,aspect_partner,acc,gen,prep,dat,inst
한국,Korea,,,,,hanguk,noun,A1,,,,,,,,,,,,,
도시,city,,,,,dosi,noun,A1,,,,,,,,,,,,,
이름,name,,,,,ireum,noun,A1,,,,,,,,,,,,,
저,"I, me (formal)",,,,,jeo,pronoun,A1,,,,,,,,,,,,,
나,"I, me (informal)",,,,,na,pronoun,A1,,,,,,,,,,,,,
남자,man,,,,,namja,noun,A1,,,,,,,,,,,,,
여자,woman,,,,,yeoja,noun,A1,,,,,,,,,,,,,
이,two (Sino-Korean),,,,,i,pronoun,A1,,,,,,,,,,,,,
그,"he, him",,,,,geu,pronoun,A1,,,,,,,,,,,,,
것,thing,,,,,geot,noun,A1,,,,,,,,,,,,,
이것,"this thing, this",,,,,igeot,pronoun,A1,,,,,,,,,,,,,
그것,"that thing, that",,,,,geugeot,pronoun,A1,,,,,,,,,,,,,
저것,that thing (far away),,,,,jeogeot,pronoun,A1,,,,,,,,,,,,,
의자,chair,,,,,uija,noun,A1,,,,,,,,,,,,,
탁자,table,,,,,takja,noun,A1,,,,,,,,,,,,,
선생님,teacher,,,,,seonsaengnim,noun,A1,,,,,,,,,,,,,
침대,bed,,,,,chimdae,noun,A1,,,,,,,,,,,,,
집,house,,,,,jip,noun,A1,,,,,,,,,,,,,
차,car,,,,,cha,noun,A1,,,,,,,,,,,,,
사람,person,,,,,saram,noun,A1,,,,,,,,,,,,,
책,book,,,,,chaek,noun,A1,,,,,,,,,,,,,
컴퓨터,computer,,,,,keompyuteo,noun,A1,,,,,,,,,,,,,
나무,"tree, wood",,,,,namu,noun,A1,,,,,,,,,,,,,
소파,sofa,,,,,sopa,noun,A1,,,,,,,,,,,,,
중국,China,,,,,jungguk,noun,A1,,,,,,,,,,,,,
일본,Japan,,,,,ilbon,noun,A1,,,,,,,,,,,,,
문,door,,,,,mun,noun,A1,,,,,,,,,,,,,
의사,doctor,,,,,uisa,noun,A1,,,,,,,,,,,,,
학생,student,,,,,haksaeng,noun,A1,,,,,,,,,,,,,
이다,to be (copula attached to a noun),,,,,ida,verb,A1,,,,이-,,,,,,,,,
네,yes,,,,,ne,interjection,A1,,,,,,,,,,,,,
아니,no,,,,,ani,interjection,A1,,,,,,,,,,,,,
안녕하세요,hello,,,,,annyeonghaseyo,interjection,A1,,,,,,,,,,,,,
감사하다,"to be thankful, to thank",,,,,gamsahada,verb,A1,,,,,,,,,,,,,
고맙다,to be thankful (thank you),,,,,gomapda,adj,A1,,,,,,,,,,,,,
제발,please,,,,,jebal,adv,A1,,,,,,,,,,,,,
나라,country,,,,,nara,noun,A1,,,,,,,,,,,,,
가방,"bag, backpack",,,,,gabang,noun,A1,,,,,,,,,,,,,
창문,window,,,,,changmun,noun,A1,,,,,,,,,,,,,
잡지,magazine,,,,,japji,noun,A1,,,,,,,,,,,,,
방,room,,,,,bang,noun,A1,,,,,,,,,,,,,
냉장고,refrigerator,,,,,naengjanggo,noun,A1,,,,,,,,,,,,,
개,counter for things/items,,,,,gae,noun,A1,,,,,,,,,,,,,
강아지,"puppy, dog",,,,,gangaji,noun,A1,,,,,,,,,,,,,
고양이,cat,,,,,goyangi,noun,A1,,,,,,,,,,,,,
쥐,"mouse, rat",,,,,jwi,noun,A1,,,,,,,,,,,,,
펜,pen,,,,,pen,noun,A1,,,,,,,,,,,,,
전화기,phone,,,,,jeonhwagi,noun,A1,,,,,,,,,,,,,
커피,coffee,,,,,keopi,noun,A1,,,,,,,,,,,,,
식당,restaurant,,,,,sikdang,noun,A1,,,,,,,,,,,,,
건물,building,,,,,geonmul,noun,A1,,,,,,,,,,,,,
텔레비전,television,,,,,tellebijeon,noun,A1,,,,,,,,,,,,,
미국,USA,,,,,miguk,noun,A1,,,,,,,,,,,,,
캐나다,Canada,,,,,kaenada,noun,A1,,,,,,,,,,,,,
호텔,hotel,,,,,hotel,noun,A1,,,,,,,,,,,,,
학교,school,,,,,hakgyo,noun,A1,,,,,,,,,,,,,
은행,bank,,,,,eunhaeng,noun,A1,,,,,,,,,,,,,
있다,to have; to be at a location,,,,,itda,adj,A1,,,,있-,,,,,,,,,
안,inside; (after a time expression) within,,,,,an,adv,A1,,,,,,,,,,,,,
위,"on top, above",,,,,wi,adv,A1,,,,,,,,,,,,,
밑,"below, under",,,,,mit,adv,A1,,,,,,,,,,,,,
옆,"beside, next to",,,,,yeop,adv,A1,,,,,,,,,,,,,
뒤,behind,,,,,dwi,adv,A1,,,,,,,,,,,,,
앞,in front,,,,,ap,adv,A1,,,,,,,,,,,,,
여기,here,,,,,yeogi,adv,A1,,,,,,,,,,,,,
곳,place,,,,,got,noun,A2,,,,,,,,,,,,,
때,time,,,,,ttae,noun,A2,,,,,,,,,,,,,
는,topic/subject particle (after a vowel),,,,,neun,particle,A1,,,,,,,,,,,,,
은,topic/subject particle (after a consonant),,,,,eun,particle,A1,,,,,,,,,,,,,
를,object particle (after a vowel),,,,,reul,particle,A1,,,,,,,,,,,,,
을,object particle (after a consonant),,,,,eul,particle,A1,,,,,,,,,,,,,
가,"subject particle: 가 after a vowel, 이 after a consonant",,,,,ga,particle,A1,,,이,,,,,,,,,,
에,at/to/in (marks a place or a time),,,,,e,particle,A1,,,,,,,,,,,,,
아니다,to not be (negative copula),,,,,anida,verb,A1,,,,,,,,,,,,,
되다,to become,,,,,doeda,verb,A1,,,,,,,,,,,,,
거,thing (shortened form of 것),,,,,geo,noun,A1,,,,,,,,,,,,,
여권,passport,,,,,yeogwon,noun,A2,,,,,,,,,,,,,
사과,apple,,,,,sagwa,noun,A1,,,,,,,,,,,,,
사진,"picture, photo",,,,,sajin,noun,A1,,,,,,,,,,,,,
누나,older sister (of a male speaker),,,,,nuna,noun,A1,,,,,,,,,,,,,
형,older brother (of a male speaker),,,,,hyeong,noun,A1,,,,,,,,,,,,,
고기,meat,,,,,gogi,noun,A1,,,,,,,,,,,,,
돼지고기,pork,,,,,dwaejigogi,noun,A2,,,,,,,,,,,,,
비밀,secret,,,,,bimil,noun,A2,,,,,,,,,,,,,
애기,baby,,,,,aegi,noun,A2,,,,,,,,,,,,,
직업,"job, occupation",,,,,jigeop,noun,A2,,,,,,,,,,,,,
극장,theater,,,,,geukjang,noun,A2,,,,,,,,,,,,,
공원,park,,,,,gongwon,noun,A1,,,,,,,,,,,,,
장소,place,,,,,jangso,noun,A2,,,,,,,,,,,,,
미래,the future,,,,,mirae,noun,A2,,,,,,,,,,,,,
곧,soon,,,,,got,adv,A2,,,,,,,,,,,,,
문제,"problem, question",,,,,munje,noun,A1,,,,,,,,,,,,,
돈,money,,,,,don,noun,A1,,,,,,,,,,,,,
밥,"rice, meal",,,,,bap,noun,A1,,,,,,,,,,,,,
영어,English (language),,,,,yeongeo,noun,A1,,,,,,,,,,,,,
내일,tomorrow,,,,,naeil,noun,A1,,,,,,,,,,,,,
친구,friend,,,,,chingu,noun,A1,,,,,,,,,,,,,
스포츠,sport,,,,,seupocheu,noun,A1,,,,,,,,,,,,,
야구,baseball,,,,,yagu,noun,A1,,,,,,,,,,,,,
가다,to go,,,,,gada,verb,A1,,,,,,,,,,,,,
먹다,to eat,,,,,meokda,verb,A1,,,,,,,,,,,,,
공부하다,to study,,,,,gongbuhada,verb,A1,,,,,,,,,,,,,
만나다,to meet,,,,,mannada,verb,A1,,,,,,,,,,,,,
열다,to open,,,,,yeolda,verb,A1,,,,,,,,,,,,,
행복하다,to be happy,,,,,haengbokhada,adj,A1,,,,,,,,,,,,,
좋다,to be good; (with ~이/가) to like,,,,,jota,adj,A1,,,,,,,,,,,,,
바쁘다,to be busy,,,,,bappeuda,adj,A1,,,,,,,,,,,,,
나쁘다,to be bad,,,,,nappeuda,adj,A1,,,,,,,,,,,,,
크다,to be big,,,,,keuda,adj,A1,,,,,,,,,,,,,
짓다,to build,,,,,jitda,verb,A2,,,,,,,,,,,,,
걷다,to walk,,,,,geotda,verb,A1,,,,,,,,,,,,,
쉽다,to be easy,,,,,swipda,adj,A1,,,,,,,,,,,,,
돕다,to help,,,,,dopda,verb,A2,,,,,,,,,,,,,
잠그다,to lock,,,,,jamgeuda,verb,A2,,,,,,,,,,,,,
다르다,to be different,,,,,dareuda,adj,A2,,,,다르,,,,,,,,,
길다,to be long,,,,,gilda,adj,A1,,,,,,,,,,,,,
갈다,"to grind, to sharpen, to replace",,,,,galda,verb,B1,,,,,,,,,,,,,
빨다,"to wash (laundry), to suck",,,,,ppalda,verb,B1,,,,,,,,,,,,,
잃다,to lose (something),,,,,ilta,verb,A2,,,,,,,,,,,,,
예쁘다,to be pretty,,,,,yeppeuda,adj,A1,,,,,,,,,,,,,
하나,one (pure Korean),,,,,hana,noun,A1,,,,,,,,,,,,,
둘,two (pure Korean),,,,,dul,noun,A1,,,,,,,,,,,,,
셋,three (pure Korean),,,,,set,noun,A1,,,,,,,,,,,,,
넷,four (pure Korean),,,,,net,noun,A1,,,,,,,,,,,,,
다섯,five (pure Korean),,,,,daseot,noun,A1,,,,,,,,,,,,,
여섯,six (pure Korean),,,,,yeoseot,noun,A1,,,,,,,,,,,,,
일곱,seven (pure Korean),,,,,ilgop,noun,A1,,,,,,,,,,,,,
여덟,eight (pure Korean),,,,,yeodeol,noun,A1,,,,,,,,,,,,,
아홉,nine (pure Korean),,,,,ahop,noun,A1,,,,,,,,,,,,,
열,ten (pure Korean),,,,,yeol,noun,A1,,,,,,,,,,,,,
스물,twenty (pure Korean),,,,,seumul,noun,A1,,,,,,,,,,,,,
