word	sentence	translation	difficulty_rank
tū	Et tū?	You as well?	8
et	Et tū?	You as well?	8
est	Est quod est.	It is what it is.	18
quod	Est quod est.	It is what it is.	18
sum	Sum ego.	That's me.	22
ego	Sum ego.	That's me.	22
sum	Ego sum.	It's me.	22
ego	Ego sum.	It's me.	22
sum	Ego sum ego.	I am me.	22
ego	Ego sum ego.	I am me.	22
quis	Quis sum?	Who am I?	27
quis	Quis sum ego?	Who am I?	27
quis	Quis hic?	Who's this?	27
hic	Quis hic?	Who's this?	27
est	Quis est hic?	Who is this?	27
hic	Quis est hic?	Who is this?	27
est	Quis est ille?	Who is that?	27
ille	Quis est ille?	Who is that?	27
māter	Māter sum.	I'm a mother.	28
etiam	Etiam.	Yes.	41
etiam	Etiam hīc sum.	I'm here again.	41
hic	Etiam hīc sum.	I'm here again.	41
quoque	Ego quoque.	Me, too.	75
nunc	Et nunc?	And now?	87
et	Et nunc?	And now?	87
nunc	Hīc et nunc.	Here and now.	87
et	Hīc et nunc.	Here and now.	87
nunc	Ī nunc.	Go now.	87
semper	Semper.	Always.	89
numquam	Numquam.	Never.	90
hodiē	Nōn hodiē!	Not today!	93
nōn	Nōn hodiē!	Not today!	93
ibi	ibi sum.	I'm there.	96
ubi	Ubi nunc est?	Where is he now?	98
ubi	Ubi?	Where?	98
ita	Ita.	That's it.	100
ita	Ita est.	That's it.	100
semper	Semper ita est?	Is it always this way?	100
ita	Semper ita est?	Is it always this way?	100
satis	Satis est.	That's enough.	102
satis	Satis!	Enough!	102
satis	Iam satis est!	Enough already!	102
iam	Iam satis est!	Enough already!	102
bene	Bene.	Good.	103
bene	Bene!	Cool!	103
ubi	Alter ubi est?	Where is the other one?	114
alter	Alter ubi est?	Where is the other one?	114
teneō	Teneō.	I understand.	126
timeō	Timeō.	I'm afraid.	142
intellegō	Bene; intellegō.	Right; I understand.	145
bene	Bene; intellegō.	Right; I understand.	145
vir	Ego vir sum.	I am a man.	148
vir	Iam is vir est.	He's a man now.	148
iam	Iam is vir est.	He's a man now.	148
is	Iam is vir est.	He's a man now.	148
vir	Vir sum.	I am a man.	148
puer	Puer sum.	I am a boy.	149
puer	Ubi puer est?	Where is the boy?	149
puer	Ego puer sum.	I am a boy.	149
ibi	Puer ibi est.	The boy is there.	149
puella	Ego puella sum.	I am a girl.	150
puella	Puella sum.	I am a girl.	150
puella	Puella est.	She is a girl.	150
tuus	Ubi est pater tuus?	Where is your father?	151
pater	Ubi est pater tuus?	Where is your father?	151
meus	Ubi pater meus est?	Where is my dad?	151
pater	Ubi pater meus est?	Where is my dad?	151
pater	Ille pater noster est.	That is our father.	151
noster	Ille pater noster est.	That is our father.	151
ille	Ille pater noster est.	That is our father.	151
meus	Pater meus est.	He is my father.	151
tuus	Ego pater tuus sum.	I am your father.	151
tuus	Pater tuus sum.	I am your father.	151
meus	Ubi est pater meus?	Where is my father?	151
is	Is est pater.	He's a father.	151
noster	Hic est pater noster.	This is our father.	151
quoque	Ego quoque pater sum.	I'm a father, too.	151
quoque	Pater quoque sum.	I'm a father, too.	151
noster	Pater noster est.	He's our father.	151
iam	Ubi pater tuus iam est?	Where's your father right now?	151
deus	Deus est.	God is.	153
deus	Ubi est nunc deus tuus?	Where is your God now?	153
deus	Deus sum.	I'm God.	153
dominus	Quis est dominus tuus?	Who's your master?	154
nōn	Nōn sum servus tuus.	I'm not your slave.	155
servus	Nōn sum servus tuus.	I'm not your slave.	155
servus	Servus sum.	I'm a slave.	155
servus	Tuus sum servus.	I am your servant.	155
aqua	Aqua est.	It's water.	162
liber	Liber meus est.	This is my book.	181
liber	Is liber meus est.	This book is mine.	181
is	Is liber meus est.	This book is mine.	181
liber	Liber meus est. Ubi est tuus?	This book is mine. Where is yours?	181
quālis	Quālis est liber?	What sort of book is it?	181
ille	Ille liber tuus est.	That's your book.	181
mare	Via ad mare est.	This is the passage to the sea.	182
ad	Via ad mare est.	This is the passage to the sea.	182
via	Via ad mare est.	This is the passage to the sea.	182
ibi	Domus ibi est.	The house is there.	183
domus	Domus ibi est.	The house is there.	183
bonus	Pater est bonus.	Father is a good person.	203
bonus	Quis bonus est?	Which one is good?	203
bonus	Deus bonus est.	God is good.	203
semper	Deus semper bonus est.	God is good all the time.	203
malus	Deus malus est.	God is bad.	204
magnus	Liber magnus est.	The book is big.	205
magnus	Deus magnus est.	God is great.	205
magnus	Quam magnus est!	How big he is!	205
quam	Quam magnus est!	How big he is!	205
parvus	Hic liber parvus est.	This book is small.	206
