rank	bare	toned
10	ati	àti
14	ba	bà
29	nitori	nítorí
35	tabi	tàbí
42	ninu	nínú
46	ọjọ	ọjọ́
55	ijọba	ìjọba
57	ṣugbọn	ṣùgbọ́n
62	ilẹ	ilẹ̀
64	ju	jù
72	oju	ojú
73	pẹlu	pẹ̀lú
75	iwa	ìwà
85	oṣelu	òṣèlú
94	oke	òkè
105	oṣu	oṣù
107	olori	olorì
109	lẹhin	lẹ́hìn
113	oni	òní
121	orilẹ	orílẹ̀
123	ọpọ	ọ̀pọ̀
128	ode	òde
134	wọnyi	wọ̀nyí
139	igbeyawo	ìgbéyàwó
142	ẹrọ	ẹ̀rọ
145	iku	ikú
146	asiko	àsìkò
153	kuro	kúrò
157	ofin	òfin
160	gbọ	gbọ́
164	yo	yó
165	pupọ	púpọ̀
169	bẹẹ	bẹ́ẹ̀
175	pẹ	pẹ́
176	agbaye	àgbáyé
177	keji	kejì
179	ologun	ológun
184	atijọ	àtijọ́
188	apẹrẹ	apẹ̀rẹ̀
189	ifẹ	ìfẹ́
196	ipinlẹ	ìpínlẹ̀
197	alejo	àlejò
200	idile	ìdílé
201	din	dín
204	fẹran	fẹ́ràn
208	ominira	òmìnira
209	agbẹ	àgbẹ̀
211	diẹ	díẹ̀
214	ijapa	ìjàpá
216	ibilẹ	ìbílẹ̀
224	oṣiṣẹ	òṣìṣẹ́
225	ayelujara	ayélujára
228	nikan	nìkan
232	mẹta	mẹ́ta
233	kekere	kékeré
234	rọbi	rọbí
235	ikan	ikán
237	adiẹ	adìẹ
238	kọja	kọjá
239	oloye	olóyè
242	agbegbe	agbègbè
250	were	wèrè
253	gomina	gómìnà
256	aworan	àwòrán
257	ọlọrọ	ọlọ́rọ̀
259	ijẹbu	ìjẹ̀bú
260	lẹyin	lẹ́yìn
261	sọrọ	sọ̀rọ̀
265	iṣẹlẹ	ìṣẹ̀lẹ̀
269	tẹlẹ	tẹ́lẹ̀
270	akara	àkàrà
275	mẹfa	mẹ́fà
278	oku	òkú
284	igun	igún
285	labẹ	lábẹ́
290	ẹwọn	ẹ̀wọ̀n
292	gbọdọ	gbọdọ̀
294	aje	ajé
295	oriṣa	òrìṣà
297	ọgẹdẹ	ọ̀gẹ̀dẹ̀
298	ranti	rántí
299	ẹlẹdẹ	ẹlẹ́dẹ̀
303	ṣẹlẹ	ṣẹlẹ̀
304	onile	onílé
310	waye	wáyé
311	tọju	tọ́jú
314	abẹtẹlẹ	àbẹ̀tẹ́lẹ̀
319	kiniun	kìnìún
321	dagba	dàgbà
322	adura	àdúrà
323	ikoko	ìkòkò
324	arugbo	arúgbó
325	iṣe	ìṣe
330	ẹmi	ẹ̀mí
334	ẹlomiran	ẹlòmíràn
335	igbagbọ	ìgbàgbọ́
346	gbiyanju	gbìyànjú
347	nile	nílé
348	iṣoro	ìṣòro
350	iranti	ìrántí
352	ojukokoro	ojúkòkòrò
355	igbese	igbèsè
361	ajọdun	àjọ̀dún
362	yara	yàrá
365	ekeji	èkejì
366	adugbo	àdúgbò
368	agbado	àgbàdo
369	isinku	ìsìnkú
371	gele	gèlè
377	alaini	aláìní
380	ajẹ	àjẹ́
381	ṣiṣe	ṣíṣe
385	ẹjẹ	ẹ̀jẹ̀
388	imu	imú
392	ijo	ijó
394	imọran	ìmọ̀ràn
395	eewọ	èèwọ̀
396	akẹkọọ	akẹ́kọ̀ọ́
401	amala	àmàlà
404	dibo	dìbò
405	akoba	àkóbá
408	iranlọwọ	ìrànlọ́wọ́
409	ajoji	àjòjì
410	irọ	irọ́
411	aarin	àárín
412	itẹlọrun	ìtẹ́lọ́rùn
413	kini	kíni
414	mẹrin	mẹ́rin
418	soke	sókè
419	ẹbun	ẹ̀bùn
420	igbẹ	ìgbẹ́
421	aburo	àbúrò
423	irẹsi	ìrẹsì
424	aadọta	àádọ́ta
425	otitọ	òtítọ́
426	aṣiri	àṣírí
429	kẹtẹkẹtẹ	kẹ́tẹ́kẹ́tẹ́
431	bẹru	bẹ̀rù
436	ewurẹ	ewúrẹ́
437	onigbagbọ	onígbàgbọ́
438	okunkun	òkùnkùn
440	wura	wúrà
441	ewura	ewùrà
449	abule	abúlé
450	kaka	kàkà
452	ifa	ìfà
453	gbagbọ	gbàgbọ́
454	boya	bóyá
455	eṣu	eṣú
456	mejeeji	méjèèjì
466	naira	náírà
467	ibanujẹ	ìbànújẹ́
471	ibinu	ìbínú
473	iroko	ìrókò
475	oniṣowo	oníṣòwò
480	ibẹrẹ	ìbẹ̀rẹ̀
481	abiku	àbíkú
485	fo	fò
490	ọmọniyan	ọmọnìyàn
492	balẹ	balẹ̀
495	ewedu	ewédú
496	ogoji	ogójì
498	ipade	ìpàdé
499	ajọyọ	àjọyọ̀
501	okeere	òkèèrè
504	atimọle	àtìmọ́lé
505	ayọ	ayọ̀
508	iwo	ìwo
510	igberaga	ìgbéraga
512	ariwa	àríwá
514	ale	àlè
516	nta	ńta
517	suuru	sùúrù
519	ọwa	ọwá
