word	rtgs	tone	phonetics
ก.ค.	ko-kho	gɔɔ-kɔɔ	ko-kho
ก.พ.	ko-pho	gɔɔ-pɔɔ	ko-pho
กก	kok	gòk	kòk
กง	kong	gong	kong
กฎ	kot	gòt	kòt
กฎหมาย	kot-mai	gòt-mǎai	kòt-mǎi
กฏ	kot	gòt	kòt
กด	kot	gòt	kòt
กดดัน	kot-dan	gòt-dan	kòt-dan
กบ	kop	gòp	kòp
กบฏ	ka-bot	gà-bòt	kà-bòt
กร	kon	gɔɔn	kon
กรกฎา	ka-ra-ka-da	gà-rá-gà-daa	kà-rá-kà-da
กรกฎาคม	ka-ra-ka-da-khom	gà-rá-gà-daa-kom	kà-rá-kà-da-khom
กรง	krong	grong	krong
กรงเล็บ	krong-lep	grong-lép	krong-lép
กรณี	ko-ra-ni	gɔɔ-rá-nii	ko-rá-ni
กรน	kron	gron	kron
กรมตำรวจ	krom-tam-ruat	grom-dtam-rùuat	krom-tam-rùat
กรรม	kam	gam	kam
กรรมการ	kam-ma-kan	gam-má-gaan	kam-má-kan
กรรไกร	kan-krai	gan-grai	kan-krai
กรอบ	krop	grɔ̀ɔp	kròp
กระ	kra	grà	krà
กระจก	kra-chok	grà-jòk	krà-chòk
กระจอก	kra-chok	grà-jɔ̀ɔk	krà-chòk
กระซิบ	kra-sip	grà-síp	krà-síp
กระดาน	kra-dan	grà-daan	krà-dan
กระดานดำ	kra-dan-dam	grà-daan-dam	krà-dan-dam
กระดาษ	kra-dat	grà-dàat	krà-dàt
กระดาษชำระ	kra-dat-cham-ra	grà-dàat-cham-rá	krà-dàt-cham-rá
กระดูก	kra-duk	grà-dùuk	krà-dùk
กระดูกสันหลัง	kra-duk-san-lang	grà-dùuk-sǎn-lǎng	krà-dùk-sǎn-lǎng
กระดูกหัก	kra-duk-hak	grà-dùuk-hàk	krà-dùk-hàk
กระตือรือร้น	kra-tue-rue-ron	grà-dtʉʉ-rʉʉ-rón	krà-tue-rue-rón
กระตุก	kra-tuk	grà-dtùk	krà-tùk
กระตุ้น	kra-tun	grà-dtûn	krà-tûn
กระต่าย	kra-tai	grà-dtàai	krà-tài
กระทง	kra-thong	grà-tong	krà-thong
กระทบ	kra-thop	grà-tóp	krà-thóp
กระทั่ง	kra-thang	grà-tâng	krà-thâng
กระท่อม	kra-thom	grà-tɔ̂m	krà-thôm
กระนั้น	kra-nan	grà-nán	krà-nán
กระบอก	kra-bok	grà-bɔ̀ɔk	krà-bòk
กระป๋อง	kra-pong	grà-bpɔ̌ng	krà-pǒng
กระรอก	kra-rok	grà-rɔ̂ɔk	krà-rôk
กระสุน	kra-sun	grà-sǔn	krà-sǔn
กระสุนปืน	kra-sun-puen	grà-sǔn-bpʉʉn	krà-sǔn-puen
กระหม่อม	kra-mom	grà-mɔ̀m	krà-mòm
กระหาย	kra-hai	grà-hǎai	krà-hǎi
กระเจี๊ยว	kra-chiao	grà-jíao	krà-chíao
กระเทียม	kra-thiam	grà-tiiam	krà-thiam
กระเป๋า	kra-pao	grà-bpǎo	krà-pǎo
กระเป๋าตังค์	kra-pao-tang	grà-bpǎo-dtang	krà-pǎo-tang
กระเป๋าถือ	kra-pao-thue	grà-bpǎo-tʉ̌ʉ	krà-pǎo-thǔe
กระเป๋าเงิน	kra-pao-ngoen	grà-bpǎo-ngən	krà-pǎo-ngoen
กระเป๋าเดินทาง	kra-pao-doen-thang	grà-bpǎo-dəən-taang	krà-pǎo-doen-thang
กระเพาะอาหาร	kra-pho-a-han	grà-pɔ́-aa-hǎan	krà-phó-a-hǎn
กระแสไฟฟ้า	kra-sae-fai-fa	grà-sɛ̌ɛ-fai-fáa	krà-sǎe-fai-fá
กระโดด	kra-dot	grà-dòot	krà-dòt
กระโปรง	kra-prong	grà-bproong	krà-prong
กรัม	kram	gram	kram
กริช	krit	grìt	krìt
กริ่ง	kring	grìng	krìng
กรีก	krik	grìik	krìk
กรีซ	krit	grìis	krìt
กรีดร้อง	krit-rong	grìit-rɔ́ɔng	krìt-róng
กรุง	krung	grung	krung
กรุงเทพ	krung-thep	grung-têep	krung-thêp
กรุงเทพมหานคร	krung-thep-ma-ha-na-khon	grung-têep-má-hǎa-ná-kɔɔn	krung-thêp-má-hǎ-ná-khon
กรุณา	ka-ru-na	gà-rú-naa	kà-rú-na
กรู	kru	gruu	kru
กลม	klom	glom	klom
กลยุทธ์	kon-la-yut	gon-lá-yút	kon-lá-yút
กลอง	klong	glɔɔng	klong
กลับ	klap	glàp	klàp
กลับบ้าน	klap-ban	glàp-bâan	klàp-bân
กลัว	klua	gluua	klua
กลาง	klang	glaang	klang
กลางคืน	klang-khuen	glaang-kʉʉn	klang-khuen
กลางวัน	klang-wan	glaang-wan	klang-wan
กลาโหม	ka-la-hom	gà-laa-hǒom	kà-la-hǒm
กลิ่น	klin	glìn	klìn
กลิ้ง	kling	glîng	klîng
กลืน	kluen	glʉʉn	kluen
กลุ่ม	klum	glùm	klùm
กล่อง	klong	glɔ̀ng	klòng
กล่าว	klao	glàao	klào
กล้วย	kluai	glûai	klûai
กล้อง	klong	glɔ̂ng	klông
กล้องจุลทรรศน์	klong-chun-la-that	glɔ̂ng-jun-lá-tát	klông-chun-lá-thát
กล้องวงจรปิด	klong-wong-chon-pit	glɔ̂ng-wong-jɔɔn-bpìt	klông-wong-chon-pìt
กล้องโทรทรรศน์	klong-tho-ra-that	glɔ̂ng-too-rá-tát	klông-tho-rá-thát
กล้า	kla	glâa	klâ
กล้ามเนื้อ	klam-nuea	glâam-nʉ́ʉa	klâm-núea
กล้าหาญ	kla-han	glâa-hǎan	klâ-hǎn
กวาง	kwang	gwaang	kwang
กวี	ka-wi	gà-wii	kà-wi
กว่า	kwa	gwàa	kwà
กว้าง	kwang	gwâang	kwâng
กษัตริย์	ka-sat	gà-sàt	kà-sàt
กอ	ko	gɔɔ	ko
กอง	kong	gɔɔng	kong
กองกำลัง	kong-kam-lang	gɔɔng-gam-lang	kong-kam-lang
กองทัพ	kong-thap	gɔɔng-táp	kong-tháp
กองทัพอากาศ	kong-thap-a-kat	gɔɔng-táp-aa-gàat	kong-tháp-a-kàt
กองร้อย	kong-roi	gɔɔng-rɔ́ɔi	kong-rói
กอด	kot	gɔ̀ɔt	kòt
